,exposure_age,crn_conc_erate_1e-06,crn_conc_erate_0.0001,crn_conc_erate_0.001,crn_conc_erate_0.03
0,1000,4998.722892927238,4995.956764478736,4970.903540459844,4246.627729244987
1,10000,49872.48480484733,49597.6315848347,47189.52649979483,14363.079284902991
2,20000,99490.80605720091,98399.14941820326,89175.36615104576,14861.854558281566
3,30000,148856.25904266007,146417.33227774155,126531.34028289505,14879.175131983011
4,50000,246833.70838332432,240153.785888953,189339.57259835137,14879.797496865851
5,100000,487441.54466415575,461642.39429327036,294906.409330917,14879.798248287681
6,200000,950603.7792614831,854314.090982014,386582.5754905219,14879.79824828772
7,300000,1390696.0485919346,1188319.5100823722,415081.5133765843,14879.79824828772
8,400000,1808867.46037125,1472423.561709081,423940.8439382446,14879.79824828772
9,500000,2206209.885621178,1714081.653269743,426694.90229349147,14879.79824828772
10,1000000,3915043.672872752,2477303.998994673,427933.63787633454,14879.79824828772
